MaxResAmp,MaxResFreq,SecMaxResAmp,SecMaxResFreq,TotalPhaseShift,Med10ResAmp,Med10ResFreq,MeanGDR,Damage
0.019718,0.0087618,1911,1411,4.02E+05,0.0085219,3759.5,0.090715,1
0.025403,0.006233,2508,1417,4.94E+05,0.0059039,4639,0.13731,1
0.027239,0.0040288,2544,1238,4.09E+05,0.0073204,2716,0.086917,1
0.0242,0.014557,2069,1336,4.18E+05,0.014241,2309.5,0.097226,1
0.033022,0.016232,2540,1300,4.92E+05,0.014364,3268.5,0.13348,0
0.0339,0.0054728,2542,1591,4.58E+05,0.0084966,2701,0.11597,0
0.032764,0.017414,2550,1364,4.53E+05,0.016285,2715,0.12549,1
0.030696,0.0033064,2555,1194,4.66E+05,0.0062687,2701,0.10923,0
0.040176,0.0064405,2501,1704,3.55E+05,0.0088623,2966.5,0.093268,0
0.04178,0.0023251,2562,1387,3.58E+05,0.0081856,2723,0.081475,0
0.024852,0.0067274,2512,1748,4.38E+05,0.0053943,3871.5,0.088196,0
0.035472,0.0034156,2557,1316,3.20E+05,0.0079041,2720.5,0.069429,1
0.030942,0.008126,2509,1712,3.41E+05,0.0074685,3510.5,0.070713,0
0.022438,0.003006,2534,1674,2.78E+05,0.0053049,2702,0.04842,0
0.030048,0.0079479,2484,1401,4.45E+05,0.0095444,2952,0.10408,0
0.029418,0.023788,2497,1377,4.30E+05,0.0090931,2666,0.11833,0
0.040218,0.011914,2518,1475,4.89E+05,0.01217,2661,0.1131,1
0.038906,0.0032963,2555,1907,3.08E+05,0.0077566,2712.5,0.076688,0
0.025197,0.0030524,2550,2365,3.61E+05,0.0029597,3096,0.081421,0
0.042409,0.0050282,2525,1924,4.51E+05,0.0052931,3146,0.11279,0
0.021605,0.0087415,2327,685,4.81E+05,0.0070915,2502,0.093133,1
0.045403,0.01983,2524,1276,3.53E+05,0.0159,2687,0.088462,1
0.050162,0.0069577,2463,2044,3.64E+05,0.0057547,3091.5,0.098153,0
0.047681,0.020423,2518,1290,4.22E+05,0.01372,2689.5,0.12409,1
0.059039,0.013747,2440,1337,3.79E+05,0.010489,2617.5,0.11933,1
0.035947,0.020272,2458,1332,5.20E+05,0.010498,2930.5,0.12949,1
0.054128,0.0052178,2468,2052,5.13E+05,0.009765,2939.5,0.15869,0
0.064137,0.0096101,2524,1270,4.64E+05,0.012415,2687.5,0.10387,0
0.04622,0.0031775,2507,2355,4.23E+05,0.0073787,2684,0.098474,1
0.054465,0.0031735,2510,1967,3.56E+05,0.0073145,2674.5,0.080714,1
0.039454,0.0058498,2465,1280,4.96E+05,0.0071126,2808,0.17012,0
0.036138,0.0035116,2464,1294,3.04E+05,0.0029023,3668.5,0.085913,1
0.021663,0.002885,2481,2234,3.81E+05,0.0061159,2838,0.077321,0
